Slno,Questions,Option A,Option B,Option C,Option D,Correct answer
1,"Who is the author of the famous novel ""To Kill a Mockingbird""?",Ernest Hemingway,Harper Lee,F. Scott Fitzgerald,Mark Twain,Harper Lee
2,What is the largest planet in our solar system?,Earth,Jupiter,Saturn,Neptune,Jupiter
3,Which country is the world's largest producer of coffee?,Brazil,Colombia,Vietnam,Indonesia,Brazil
4,The Great Wall of China is located in which country?,India,Japan,China,Russia,China
5,What is the chemical symbol for gold?,Au,Ag,Cu,Fe,Au
6,"Who painted the famous artwork ""Mona Lisa""?",Leonardo da Vinci,Michelangelo,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci
7,Which ocean is the largest in the world?,Atlantic Ocean,Pacific Ocean,Indian,Arctic,Pacific Ocean
8,What is the capital of Australia?,Sydney,Melbourne,Brisbane,Canberra,Canberra
9,The Taj Mahal is located in which country?,India,Pakistan,Bangladesh,Nepal,India
10,Which gas do plants absorb from the atmosphere?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,Carbon dioxide
11,What is the largest country in the world by land area?,China,Russia,Canada,United States,Russia
12,The tallest mountain in the world is:,Mount Everest,K2,Mount Kilimanjaro,Aconcagua,Mount Everest
13,Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Saturn,Mars
14,The process by which plants make their own food is called:,Photosynthesis,Respiration,Transpiration,Fertilization,Photosynthesis
15,The theory of relativity is most associated with:,Isaac Newton,Albert Einstein,Galileo Galilei,Stephen Hawking,Albert Einstein
16,The currency of Japan is:,Yuan,Won,Yen,Rupee,Yen
17,The longest river in the world is:,Nile River,Amazon River,Mississippi River,Yangtze River,Nile River
18,The capital of the United States is:,New York City,Los Angeles,Washington D.C.,Chicago,Washington D.C.
19,The largest mammal on Earth is:,African Elephant,Blue Whale,Giraffe,Polar Bear,Blue Whale
20,The human body's largest organ is:,Heart,Liver,Skin,Lungs,Skin
21,The first person to walk on the moon was:,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,Yuri Gagarin,Neil Armstrong
22,The process of water changing from a liquid to a gas is called:,Condensation,Evaporation,Sublimation,Precipitation,Evaporation
23,The smallest unit of matter is:,Atom,Molecule,Electron,Proton,Atom
24,"The famous painting ""The Starry Night"" was created by:",Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Michelangelo,Vincent van Gogh
25,The largest desert in the world is:,Sahara Desert,Gobi Desert,Arabian Desert,Australian Desert,Sahara Desert
